帖子发布日期,平台,标题,标签,一句话描述,推荐度,判断理由,链接,用户备注
2026-07-20,PC,火花奇遇记 自动化冒险,自动化；经营；探索；村庄建设,融合自动化工坊经营与即时战略要素的奇幻冒险，探索程序生成世界并发展村庄。,4,经营取舍、探索与村庄生活元素贴合口味，自动化系统也有形式新意。,https://www.gamer520.com/75796.html,
2026-07-20,PC,叛乱 沙尘暴,FPS；战术射击；多人,战术向第一人称多人射击游戏，强调近距离作战与团队配合。,1,核心是第一人称射击战斗，属于明确排斥类型。,https://www.gamer520.com/50284.html,
2026-07-19,Switch,永恒的爱 LOVE ETERNAL,心理恐怖；平台跳跃；实验叙事；氛围,心理恐怖平台解谜游戏，在充满痛苦回忆构成的城堡中探索逃脱。,3,氛围与实验叙事契合口味，但含平台跳跃操作挑战成分，保留观察给3分。,https://www.gamer520.com/118346.html,
2026-07-19,PC,拉尔斯·加迪尔 LarsGadiel,类银河战士恶魔城；探索；复古像素；RPG,以复古8位风格呈现的类银河战士恶魔城冒险，强调迷宫地图、秘密探索和武器升级。,2,地图探索和复古氛围有贴合点，但主循环偏高难度动作与平台挑战，操作压力明显。,https://www.gamer520.com/118302.html,
2026-07-19,PC,我靠挂机撩女神,挂机；放置；恋爱卖点,以挂机战斗和奖励积累为核心，辅以歌曲和女主互动内容的休闲游戏。,1,主要体验是挂机升级和奖励积累，并以女神互动作为卖点，直接落入明确不喜欢的放置与恋爱卖点。,https://www.gamer520.com/118299.html,
2026-07-19,PC,韩流偶像故事 出道之路,经营模拟；日程管理；关系叙事；选择,扮演经纪人发掘并培养练习生，安排训练和工作、管理财务与负荷，通过选择和随机事件推动女团出道及角色关系。,4,以偶像团队经营、日程资源取舍、关系变化和多种结局为核心，生活模拟与选择压力都很贴合口味；其中的节奏和声乐小游戏是辅助元素。,https://www.gamer520.com/118297.html,
2026-07-19,PC,挖到地心,增量；挖矿；资源升级；探索,扮演鼹鼠反复挖掘收集资源，升级钻头和技能树，逐步深入地底并寻找隐藏故事。,2,挖掘和探索题材有一点趣味，但核心是增量收益、效率提升和重复资源升级，主要体验偏纯数值成长。,https://www.gamer520.com/118280.html,
2026-07-19,PC,流浪水域,海盗；故事驱动；策略；轻肉鸽,在海上航行、招募培养船员、升级船只并应对程序生成遭遇战的海盗战术冒险，包含复仇故事和探索。,3,海上航行、船员管理和故事驱动的冒险有明显吸引力，但战斗和轻肉鸽循环占据较大比重，作为保留观察。,https://www.gamer520.com/82623.html,
2026-07-19,PC,真人快打11 终极版,格斗；故事战役；多人,包含两部故事战役、角色自定义和大量格斗内容的动作格斗游戏。,2,故事模式和内容量较足，但主要体验仍是高强度格斗与反应操作，和口味核心不匹配。,https://www.gamer520.com/28790.html,
2026-07-18,PC,福报镖局,职场叙事；资源管理；跑酷,血汗镖局实习体验，管理工钱、精力与生活压力并完成配送。,3,职场讽刺、具体工作与资源取舍贴合，但跑酷反应挑战较强。,https://www.gamer520.com/118272.html,
2026-07-18,PC,妄生,心理悬疑；中式怪谈；视觉小说,中国近现代背景的心理悬疑视觉小说，围绕爱、牺牲与忏悔展开。,3,叙事与怪谈氛围贴合，但主要是视觉小说式剧情推进。,https://www.gamer520.com/118268.html,
2026-07-18,PC,Go-Go Town!,城镇建设；模拟经营；社区生活,担任镇长规划街区、招募镇民并管理供应、资金和物流。,5,城镇经营、社区生活、具体工作与资源调度全面贴合。,https://www.gamer520.com/118263.html,
2026-07-18,PC,地下古域2,地下城探索；队伍构筑；职业系统；策略,以像素风探索六座地下城，通过视野系统、明雷遇敌、十种职业和转职技能搭配组建队伍。,3,视野探索、可规避的明雷敌人和职业队伍构筑提供了策略选择与探索感；传统回合制战斗偏重，暂列可试。,https://www.gamer520.com/112515.html,
2026-07-18,PC,阿基琉斯 幸存者,类幸存者；弹幕战斗；永久成长,希腊神话题材的俯视角幸存者动作游戏。,1,核心是弹幕清怪、敌潮与永久成长，落入明确雷区。,https://www.gamer520.com/88033.html,
2026-07-18,PC,奇塔利亚童话,农场；任务；探索；动作冒险,在可爱鲜明的世界中进行地区探索、完成任务，并经营农场、收集资源和古代文物。,3,农场、任务和地区探索带来生活感与推进力，视觉气质也讨喜；但动作RPG战斗是重要组成，深度和叙事目前有限。,https://www.gamer520.com/62744.html,
2026-07-18,PC/Switch,异度之刃3 国语配音版,叙事；探索；角色关系；开放世界；传统战斗,以六位少年少女寻找战争真相为核心的叙事 RPG，在艾欧尼翁展开大规模原野探索、队伍职业切换与角色关系推进。国语配音版包含本体、更新与 DLC；战斗仍是占比很高的传统实时指令战斗。,3,故事、探索、人物关系和世界氛围明显贴合口味，但战斗系统占据重要比重，且整体规模与传统 RPG 结构可能带来较强负担，因此保留为可试。,https://www.gamer520.com/48547.html,
2026-07-17,Switch,嘿哟走你 Heave Ho,多人派对；物理动作；操作挑战,通过抓握、摇晃和摆荡进行多人合作闯关。,2,主要乐趣是物理操作、时机与混乱闯关，偏纯反应挑战。,https://www.gamer520.com/118254.html,
2026-07-17,Switch,梦境战术 Dream Tactics,卡牌战斗；回合制战术；梦境探索,在梦境世界招募伙伴、搭配卡牌并探索岛屿。,2,美术与探索有特色，但核心仍是传统回合制卡牌与牌组优化。,https://www.gamer520.com/118250.html,
2026-07-17,PC,霜轨 Frostrain 2,列车经营；生存策略；路线探索,冰封末世中经营列车社会，管理车厢、乘客、事件与路线。,4,列车布局、路线规划和乘客命运形成有意义的制度与资源选择。,https://www.gamer520.com/118242.html,
2026-07-17,PC,致病本源,双摇杆射击；Roguelike；永久成长,在人体器官环境中射击免疫细胞并组合细胞器。,1,核心是高强度射击、反复清怪、Boss战和局外成长。,https://www.gamer520.com/118240.html,
2026-07-17,PC,死重 Dead Weight,浮岛探索；飞船管理；回合制策略,驾驶飞行海盗船探索浮岛，管理燃油船员并进行回合战斗。,3,探索和飞船管理有吸引力，但回合制战斗与装备构筑占比较大。,https://www.gamer520.com/118238.html,
2026-07-17,PC,幽灵守护者,策略管理；怪诞幽默；维多利亚时代,率领幽灵与怪物规划惊吓战术，以多种路径对抗敌人。,3,氛围与多路径策略有亮点，但主要体验偏逐关战术对抗。,https://www.gamer520.com/118236.html,
2026-07-17,PC,猫咪列车长,桌面放置；猫咪收集；列车装饰,经营装饰猫咪列车，接载乘客并进行简单互动。,2,有生活感，但主循环是放置收集，缺乏叙事探索或经营深度。,https://www.gamer520.com/118234.html,
2026-07-17,PC,东方神域传 在游戏里展示威严,独立；策略；SRPG；二次元,东方Project题材的策略角色扮演游戏，围绕转职、天赋、符卡和据点养成展开，主线与副本内容都比较完整。,4,策略SRPG、角色养成和副本结构明确，和偏好的经营/制度/人物驱动方向有贴合点；虽然带有二次元和战斗，但主循环不是纯动作或纯刷，值得保留。,https://www.gamer520.com/118217.html,
2026-07-17,PC,千里山河录,拼筑；治愈；策略；东方美学,无压力的六边形板块拼筑游戏，围绕国风山水构图和轻度策略展开。,4,东方美学、无压创造和轻策略都很贴口味，属于可以安静投入的建造拼图型体验。,https://www.gamer520.com/118214.html,
2026-07-17,PC,连连帝国,即时战略；极简；自动化；战术,去掉微操的六角网格 RTS，强调调兵遣将和节点占领。,2,虽然降低了传统 RTS 的操作负担，但核心仍然是对战和推进节点，叙事与生活感都不强。,https://www.gamer520.com/118212.html,
2026-07-17,PC,HamKoi 转生为仓鼠的我与三姐妹的甜蜜生活,FMV；恋爱模拟；真人演出；互动,真人互动恋爱模拟，围绕仓鼠视角与三姐妹的近距离生活展开。,1,属于明确的真人 FMV 恋爱模拟和卖点驱动内容，正好落在不喜欢的类型里。,https://www.gamer520.com/118210.html,
2026-07-17,PC,魔法门之魔物狩猎者,策略；探索；奇幻；收集,奇幻世界中的魔物收集与策略冒险，强调探索、组军和战术对决。,3,有探索、收集和策略推进，世界观也完整，但目前仍更像传统战术冒险，按 3 分保留。,https://www.gamer520.com/118204.html,
2026-07-17,PC,赌命无常 出千为王 Cheat Death,骰子扑克；牌组构筑；Roguelite；策略,围绕骰子扑克和概率操控的黑暗 Roguelite。,2,有叙事和氛围，但主循环仍是牌组、概率和 Roguelite 对局，整体更靠近传统对战/构筑，不算优先。,https://www.gamer520.com/118201.html,
2026-07-17,Switch,带我去地下城吧!! Take Me To The Dungeon,地下城；冒险；角色扮演；恋爱,以地下城推进和角色互动为主的轻冒险作品。,1,从简介看更像以角色互动和地下城推进为卖点，明显不如经营、探索或叙事驱动的作品合口味。,https://www.gamer520.com/118198.html,
2026-07-17,PC,地狱公主 Hell Maiden,敌潮生存；牌组构筑；动作；Roguelite,基于神曲的敌潮生存牌组构建动作游戏。,1,敌潮生存和牌组构筑都正好踩中明显的低兴趣区间，主循环也更偏战斗与刷局。,https://www.gamer520.com/118191.html,
2026-07-17,PC,列乌尼斯的挽歌,策略RPG；炼金；资源管理；探索,带天数机制的遗迹探索与炼金养成，强调路线、资源和永久成长。,4,探索、炼金、资源配置和天数规划都很合口味，主循环有明确的经营式取舍和推进感。,https://www.gamer520.com/118186.html,
2026-07-17,PC/Switch,Moss 遗落圣物,冒险；解谜；氛围；叙事,情感浓厚的神话冒险，重制整合两部作品，强调谜题、氛围和 Quill 的陪伴感。,4,氛围、探索、谜题和情感叙事都很强，虽然有战斗，但可跳过的设计也让它更贴近喜欢的冒险体验。,https://www.gamer520.com/118165.html,
2026-07-17,PC,泰拉科技魇团,弹幕射击；载具建造；无尽生存,拼装模块化载具挑战机械敌潮与头目。,1,建造完全服务于弹幕清怪，核心是反复敌潮和高分挑战。,https://www.gamer520.com/112705.html,
2026-07-17,PC,女神异闻录3 重制版,叙事；角色扮演；校园；生活模拟,重制版 JRPG，围绕剧情、校园日常和队伍成长推进。,3,故事和氛围很强，也带一点生活与关系推进，但传统回合制战斗占比仍高，先按 3 分保留。,https://www.gamer520.com/109544.html,
2026-07-17,PC,星际迷航 航海家号 穿越未知,生存策略；飞船管理；剧情；资源经营,以航海家号为核心的剧情驱动生存策略游戏，重点是飞船管理、资源分配和艰难决策。,4,飞船管理、资源压力和叙事决策都很贴口味，属于有明确经营与选择重量的作品。,https://www.gamer520.com/108999.html,
2026-07-17,PC,冲就完事模拟器2,工作模拟；地点探索；家园装饰,使用专业设备完成多地点清洁任务，并探索区域、装饰基地。,4,具体工作与任务推进贴合；需留意重复和第一人称晕3D风险。,https://www.gamer520.com/101200.html,
2026-07-17,Switch,红色的炼金术士和白色的守护者蕾斯莱莉娅娜的炼金工房,故乡重建；炼金调合；商店经营,双主角重建故乡，通过炼金、经营、探索和战斗推进故事。,3,重建经营与追寻真相贴合，但传统回合战斗可能占比较高。,https://www.gamer520.com/100022.html,
2026-07-17,PC,星球田园诗 正式版,农场经营；星际探索；居民关系,在农业星球垦荒修复，探索其他星球并结识居民、揭开秘密。,5,经营、修复、探索、人物关系与隐藏故事全面贴合。,https://www.gamer520.com/88786.html,
2026-07-17,PC,吸血鬼酒吧大亨 支持者版,经营；生产链；模拟；策略,管理吸血鬼酒吧与血液工厂的经营模拟，强调设施、员工和生产优化。,4,经营、生产链和员工管理都很对路，虽然题材偏黑暗夸张，但主循环是有取舍的模拟经营。,https://www.gamer520.com/88160.html,
2026-07-17,Switch,双子星传奇 重制版,叙事冒险；地图探索；谜题,在魔法科技世界旅行，探索地点、揭开故事并解决谜题。,4,故事、世界探索、谜题和鲜明氛围高度贴合。,https://www.gamer520.com/86191.html,
2026-07-17,PC,数字魅影 极限竞赛 正式版,动作；Roguelite；砍杀；赛博朋克,赛博朋克题材的 3D Roguelite 砍杀动作游戏。,1,核心是快节奏 3D 砍杀和 Roguelite 战斗，属于明显不优先的纯操作/纯战斗类型。,https://www.gamer520.com/76242.html,
2026-07-17,Switch,流行之神2 警视厅怪异事件档案,都市传说；悬疑叙事；警察调查,从科学与神秘角度调查警视厅怪异案件和日常异常。,3,都市传说与日常异变氛围贴合，但可能偏纯对话视觉小说。,https://www.gamer520.com/62486.html,
2026-07-17,PC,怪物圣所,地图探索；怪物收集；回合制战斗,利用怪物能力探索地图秘密，并以队伍构筑推进冒险。,3,地图探索有吸引力，但传统回合制战斗与养成同样是核心。,https://www.gamer520.com/48282.html,
2026-07-16,Switch,卡牌召唤师 卡尔朵圣谱BEGINS,卡牌；桌游；策略；剧情,以卡牌和桌游对战为核心的新作，强调运气与策略组合。,2,核心仍是传统卡牌对战，主要乐趣集中在对局与组合本身，和我更偏好的生活感、探索或经营体验不太合拍。,https://www.gamer520.com/118156.html,
2026-07-16,PC,春秋异闻录,策略；城镇建设；志怪；角色扮演,水墨志怪风的战术肉鸽，强调队伍搭配、压力与疯狂管理，以及战后城镇重建。,4,有明显的氛围、城镇经营和系统压力，虽然带回合制战术与肉鸽，但主循环仍是策略、探索和重建，较贴口味。,https://www.gamer520.com/118150.html,
2026-07-16,PC,Rock Bottom 一挖到底,挖矿；增量；升级；探索,增量挖矿游戏，围绕挖掘、熔炼和永久升级推进。,2,有挖矿和永久成长，但主体验更偏重复增量循环，容易落到刷成长而不是故事、关系或经营取舍。,https://www.gamer520.com/118142.html,
2026-07-16,PC/Switch,亰都幻都 樱花幻舞,叙事；校园；探索,现代京都校园与异界探索交织的青春RPG。,4,校园日常、人物关系、城市探索和任务系统很贴合口味，但动作战斗带来操作风险。,https://www.gamer520.com/118133.html,
2026-07-16,PC,道途百劫,Roguelike；卡牌；仙侠,东方仙侠Roguelike卡牌构筑游戏。,1,主要体验是传统Roguelike卡牌战斗与泛仙侠构筑，落入明确雷区。,https://www.gamer520.com/118130.html,
2026-07-16,PC,喵喵工坊,铁匠铺经营；模拟；员工管理,经营铁匠铺、打造装备、招募猫咪员工并派遣冒险者。,5,具体工作经营、顾客需求、员工安排和工坊扩建高度贴合口味。,https://www.gamer520.com/118128.html,
2026-07-16,Switch,闪耀祖玛2,益智消除；关卡挑战,包含故事、生存、挑战和灾难模式的祖玛消除益智游戏。,2,主循环是重复消除关卡和反应挑战，故事模式不是主要吸引力。,https://www.gamer520.com/118120.html,
2026-07-16,Switch,百变提托 Teeto,冒险平台；解谜；变形能力；合作,通过吸收物体变形，使用不同能力探索世界、解谜并发现秘密。,3,变形机制、探索和解谜有新颖体验，但平台动作可能占较大比重。,https://www.gamer520.com/118118.html,
2026-07-16,PC,城市巴士模拟器 2026,公交驾驶；具体工作；城市探索,驾驶公交、完成路线任务、服务乘客并在城市区域中工作。,4,公交驾驶是具体工作模拟，路线、乘客需求和城市探索很贴合生活气息。,https://www.gamer520.com/118104.html,
2026-07-16,PC,挂机足球 Goal Idle,挂机；点击；数值成长,通过点击射门、自动化助手和重置声望不断增长收益。,1,主循环是挂机、点击和纯数值收益增长，完全落入明确不喜欢模式。,https://www.gamer520.com/118082.html,
2026-07-16,PC,幻影之塔,冒险；信息不足,详情页信息有限，暂无法确认核心玩法。,3,信息有限，无法确认匹配度，因此保留为可试而不做低分判断。,https://www.gamer520.com/118079.html,
2026-07-16,PC,电车炫客,动作；竞速；操作,驾驶电车进行特技竞速并对抗企业。,2,主要乐趣是高速竞速、特技和反应操作，虽有世界观但不合核心偏好。,https://www.gamer520.com/118077.html,
2026-07-16,PC,世界摩托大奖赛26 MotoGP 26,竞速模拟；体育；职业生涯,官方MotoGP竞速模拟，含职业生涯、合同谈判和车队研发。,2,主要体验仍是高强度竞速操作，职业生涯的管理选择不足以改变主循环。,https://www.gamer520.com/118072.html,
2026-07-16,PC,古冢 克苏鲁凶兆,合作冒险；克苏鲁；战斗,在诅咒丛林中组队探险、寻宝并对抗怪物。,2,详情主要显示合作战斗与寻宝，缺少故事、生活感或系统取舍证据。,https://www.gamer520.com/118069.html,
2026-07-16,PC/Switch,数码宝贝物语 时空异客 Digimon Story Time Stranger,角色扮演；冒险；回合制战斗；收集培育,在东京与异世界之间追查世界毁灭谜团，穿梭时空展开冒险，并收集、进化和编组数码宝贝。,3,故事、世界探索和人类与数码宝贝的羁绊符合口味，但主要战斗是传统回合制，收集培育也可能带来重复成长；保留给你判断其叙事与世界探索的实际比重。,https://www.gamer520.com/117629.html,
2026-07-16,PC,梦壳,心理叙事；解谜；多分支；科幻氛围,作为梦境解梦师进入患者意识深处，以解谜和判断处理创伤。,4,心理叙事、多分支关系、非线性谜题和梦境形式很符合叙事、氛围与新颖体验偏好。,https://www.gamer520.com/117195.html,
2026-07-16,PC,惊悚故事 雪孩子,冒险；解谜；黑暗童话；动作,黑暗童话风的动作冒险，混合谜题、潜行、轻动作和怪诞氛围。,3,有明确的氛围、叙事和解谜推进，虽然动作和潜行占比不低，但整体仍有可保留的故事与美术吸引力。,https://www.gamer520.com/113643.html,
2026-07-16,PC,突袭5,即时战术；补给管理；策略,在二战战场上指挥单位、管理补给并选择战术路线。,3,战术和补给、路线选择符合策略取舍，但整体以军事战斗为主。,https://www.gamer520.com/112283.html,
2026-07-16,PC,嗜血之王 崛起 特别版,城堡建造；开放世界；资源管理,建造城堡、管理仆从、收集资源并探索哥特开放世界。,4,城堡建造、仆从分工、资源管理与探索很有吸引力，但战斗和收集也占重要位置。,https://www.gamer520.com/105922.html,
2026-07-16,PC,检疫区 最后一站,检查站经营；资源管理；制度选择,管理末日检查站，筛查幸存者、分配资源并维持营地。,5,筛查放行决策、稀缺资源管理和伦理后果高度符合制度压力与经营取舍。,https://www.gamer520.com/105041.html,
2026-07-16,PC,晶灵小队 Shard Squad,幸存者；怪物狂潮；Roguelite,组建元素生物小队，在怪物狂潮中通过羁绊构筑战斗能力。,1,主循环是典型怪物狂潮与幸存者式战斗构筑，属于明确不喜欢的类型。,https://www.gamer520.com/104172.html,
2026-07-16,PC,小小梦魇3,悬疑；解谜；氛围,在梦魇世界中合作探索并利用道具解决环境谜题。,3,悬疑氛围、探索和合作解谜有吸引力，但恐怖逃脱与操作挑战可能限制兴趣。,https://www.gamer520.com/100579.html,
2026-07-16,PC,以太术士,怪兽驯养；Roguelite；回合战斗,驯养怪兽、组队并在随机遗迹中进行回合制战斗。,2,主循环是传统回合制战斗、培育和Roguelite重复挑战，明显偏离核心口味。,https://www.gamer520.com/99886.html,
2026-07-16,PC,禁闭求生2 创始者版,生存建造；探索；资源管理,在缩小后的游乐场探索、采集、建造基地并与昆虫合作生存。,3,探索、建造和资源管理有明确贴合点，但生存战斗和重复采集占比待确认。,https://www.gamer520.com/96936.html,
2026-07-16,PC,终末机兵 正式版,战术RPG；队伍关系；机甲；资源管理,在废土中带领机甲佣兵小队执行合约，管理士气、基地生活和机体配置。,4,队员关系与飞艇日常、合约选择、士气管理和机甲配置带来策略与生活感。,https://www.gamer520.com/94627.html,
2026-07-16,PC,神力科莎EVO,竞速；驾驶模拟；拟真；抢先体验,以高度拟真的驾驶和赛道体验为核心的赛车模拟续作。,2,主循环是高拟真竞速和驾驶操作，偏纯操作挑战，和偏好的叙事、生活感、经营取舍距离较大。,https://www.gamer520.com/87437.html,
2026-07-16,Switch,机器人世界 奥德赛 Botworld Odyssey,开放世界；探索；收集；策略,带剧情推进的开放世界冒险，围绕探索、收集机器人和实时战术战斗展开。,3,有开放世界探索、剧情推进和收集构筑，虽然战斗占比不低，但仍保留了探索与养成的可取之处。,https://www.gamer520.com/83832.html,
2026-07-16,Switch,神之天平外传 幻雾之洞窟,Roguelike；动作RPG；随机地城,《神之天平》外传，以随机地城和成长强化为主要内容。,1,主要体验是随机地城、成长强化和爽快战斗，明显不合口味。,https://www.gamer520.com/83615.html,
2026-07-16,PC,魂之归宿,魔塔；策略RPG；战斗,以固定数值策略RPG探索地图、收集装备并挑战Boss。,2,核心仍是大量战斗、地图推进与数值构筑，生活感和叙事证据不足。,https://www.gamer520.com/71868.html,
2026-07-16,Switch,神之天平,动作RPG；探索；战斗,探索世界、强化角色并挑战强敌的动作角色扮演游戏。,2,详情主要显示动作战斗、角色强化和强敌挑战，贴合点不足。,https://www.gamer520.com/67889.html,
2026-07-16,PC,简红2,射击；二战；拟真；多人,强调大规模二战地面与载具协同作战的写实射击游戏。,1,核心体验是二战射击与战斗推进，明显落在不喜欢的纯战斗和射击雷区内。,https://www.gamer520.com/40731.html,
2026-07-16,Switch,一起来玩吧!,桌游合集；聚会；策略；多人,将多款 Oink Games 桌游搬到 Switch 上的合集。,2,属于桌游合集和聚会对战，偏规则与对局本身，缺少我更看重的叙事、世界推进或生活感。,https://www.gamer520.com/25647.html,
2026-07-15,PC,加利宅邸悬案,悬疑推理；探索；分支谜题,利用能聆听过去回响的装置，调查加利宅邸的旧案，并在记忆与谜题中拼出真相。,4,故事牵引、氛围和调查探索都很突出，3D交互与分支谜题也有形式感。,https://www.gamer520.com/118056.html,
2026-07-15,PC,难蚌尖塔,肉鸽卡牌；卡组构筑；互联网梗,以互联网名场面和传统文化为主题的类杀戮尖塔肉鸽卡牌构筑游戏。,2,主要体验是传统肉鸽卡牌战斗与重复轮回，虽然有主题创意，但整体落在明确低偏好类型。,https://www.gamer520.com/118054.html,
2026-07-15,PC,攻击就能加攻击,回合制RPG；资源取舍；成长,围绕攻击力累积与消耗货币展开的单角色回合制RPG。,2,核心仍是传统回合制战斗和重复成长，资源点子有趣但不足以改变主循环的不匹配。,https://www.gamer520.com/118052.html,
2026-07-15,PC,魔姬征服者,半回合RPG；角色收集；刷装备,以半回合战斗、收服魔女、装备强化和自动战斗为主的RPG。,1,主要是少量剧情下的战斗、掉落、角色收集和刷成长，并带有明显的擦边恋爱卖点。,https://www.gamer520.com/118050.html,
2026-07-15,PC,洪荒进化,幸存者；肉鸽；进化,操控野兽在敌群围攻中选择进化路线并生存下来的轻度幸存者游戏。,1,主循环明确是类幸存者式敌群生存与刷成长，完全落入明确雷区。,https://www.gamer520.com/118047.html,
2026-07-15,PC,肉鸽领地 守卫方格,塔防；Roguelike；布局经营,在方格地图上建造防御、管理资源，并通过随机强化和卡牌构筑抵御敌人。,2,虽有布局与资源取舍，但主要循环仍是重复波次塔防和肉鸽战斗构筑，贴合度有限。,https://www.gamer520.com/118045.html,
2026-07-15,PC,隐名三国,三国策略；内政外交；随机身份,以武将化名和随机开局为核心的三国战略模拟，包含人事、战争、内政、外交与谍报。,4,主循环是战略经营与识人决策，随机身份和资源取舍带来新颖的策略体验。,https://www.gamer520.com/118035.html,
2026-07-15,PC,闲暇岛时光,放置经营；生活模拟；资源链；探索,在任务栏小窗中安排居民种田、采集、烹饪、建造与远航，逐步经营一座有故事的岛屿。,5,生活模拟、产业链经营、居民故事、探索航行和轻松氛围都高度贴合，形式上也很新颖。,https://www.gamer520.com/118033.html,
2026-07-15,PC,修仙挂机,修仙；挂机放置；数值养成,以自动修炼、离线收益、刷怪掉宝和长期数值成长为核心，附带多种生活技能。,1,主循环是挂机升级、刷资源和深度数值养成，明确落入不喜欢的泛修仙与放置模式。,https://www.gamer520.com/118031.html,
2026-07-15,PC,厄本纷争 Urban Strife,末日生存；避难所管理；回合制策略；关系选择,在末日城镇招募民兵、重建避难所、管理食物与伤病，并通过回合制战术和阵营选择求生。,4,避难所经营、资源压力、人物需求和会产生后果的选择与口味高度贴合，战术战斗是重要但非唯一体验。,https://www.gamer520.com/118000.html,
2026-07-15,PC,沙龙模拟器 Saloon Simulator,酒馆经营；生活模拟；人物故事；西部,在狂野西部经营酒馆，调制饮品、烹饪、雇员管理，并介入小镇居民的故事与灰色生意。,5,具体工作、酒馆经营、员工与资源管理、居民故事和鲜明西部氛围高度符合口味。,https://www.gamer520.com/117998.html,
2026-07-15,PC,女巫之火 Witchfire,第一人称射击；黑暗奇幻；Roguelite；角色扮演,第一人称黑暗奇幻角色扮演射击游戏，以远征、击败敌人、回收资源和构筑武器法术为主要循环。,1,主循环是第一人称射击、战斗构筑和反复远征，明确触及不玩FPS与高强度战斗的核心雷区，黑暗奇幻探索不足以改变主要体验。,https://www.gamer520.com/116340.html,
